id_kpi,nombre,categoria,servicio,valor,meta,unidad,periodo,variacion_pct,estado,orden,observacion
106,Tasa de Ocupación,Ocupación,Llanquihue Puerto Montt,0.856209590517241,0.552217479720426,%,2026-02,55.0493459480346,ok,106,
107,Pasajeros,Afluencia,Biotren,1134764,1264530.51368351,pax,2026-03,-10.2620310288526,alerta,107,Falta Reproceso de Datos
108,Pasajeros,Afluencia,Tren Araucanía,72593,102481.831955277,pax,2026-03,-29.1650055283171,critico,108,
109,Pasajeros,Afluencia,Laja Talcahuano,38764,40328.202846309,pax,2026-03,-3.8786822518975,alerta,109,
110,Pasajeros,Afluencia,Llanquihue Puerto Montt,38607,54115.5459166667,pax,2026-03,-28.6582083834995,critico,110,
111,Tasa de Ocupación,Ocupación,Biotren,0.5313436190387,0.592105688518021,%,2026-03,-10.2620310288526,alerta,111,Falta Reproceso de Datos
112,Tasa de Ocupación,Ocupación,Tren Araucanía,,,%,2026-03,,,112,Sin Datos
113,Tasa de Ocupación,Ocupación,Laja Talcahuano,0.247475069906408,0.257461170637451,%,2026-03,-3.87868225189749,alerta,113,
114,Tasa de Ocupación,Ocupación,Llanquihue Puerto Montt,,,%,2026-03,,,114,Sin Datos
115,Tarifa Media,Financiero,Biotren,459.11358920234,508.683923042446,CLP/pax,2025-01,-9.74482023013917,alerta,115,
116,Tarifa Media,Financiero,Biotren,457.70190599697,511.377937006367,CLP/pax,2025-02,-10.4963525261998,alerta,116,
117,Tarifa Media,Financiero,Biotren,438.75241369695,484.358063177919,CLP/pax,2025-03,-9.41568912505471,alerta,117,
118,Tarifa Media,Financiero,Biotren,437.176073329438,476.860672452056,CLP/pax,2025-04,-8.32205325688884,alerta,118,
119,Tarifa Media,Financiero,Biotren,437.339847463933,476.693289430944,CLP/pax,2025-05,-8.25550576010608,alerta,119,
120,Tarifa Media,Financiero,Biotren,430.185529019451,497.589039134771,CLP/pax,2025-06,-13.5460198706395,alerta,120,
121,Tarifa Media,Financiero,Biotren,439.631060546913,508.358702149901,CLP/pax,2025-07,-13.5195170875076,alerta,121,
122,Tarifa Media,Financiero,Biotren,431.576832932477,495.647875884229,CLP/pax,2025-08,-12.9267260224711,alerta,122,
123,Tarifa Media,Financiero,Biotren,432.280393296157,482.122737501409,CLP/pax,2025-09,-10.3381027958895,alerta,123,
124,Tarifa Media,Financiero,Biotren,428.380538975232,480.66484849638,CLP/pax,2025-10,-10.8774980497751,alerta,124,
125,Tarifa Media,Financiero,Biotren,426.248936077053,483.074773665172,CLP/pax,2025-11,-11.7633626688828,alerta,125,
126,Tarifa Media,Financiero,Biotren,441.74234896441,496.773153819928,CLP/pax,2025-12,-11.0776527339208,alerta,126,
127,Tarifa Media,Financiero,Tren Araucanía,784.918089524689,778.446238998276,CLP/pax,2025-01,0.831380537561657,ok,127,
128,Tarifa Media,Financiero,Tren Araucanía,790.444615420485,788.130083129408,CLP/pax,2025-02,0.29367389224454,ok,128,
129,Tarifa Media,Financiero,Tren Araucanía,499.509712349803,618.899847870183,CLP/pax,2025-03,-19.2907036463552,alerta,129,
130,Tarifa Media,Financiero,Tren Araucanía,437.899773517497,556.274376647071,CLP/pax,2025-04,-21.2798949761221,critico,130,
131,Tarifa Media,Financiero,Tren Araucanía,463.960497735271,545.446917238668,CLP/pax,2025-05,-14.9393858372,alerta,131,
132,Tarifa Media,Financiero,Tren Araucanía,538.252996408637,669.166101033389,CLP/pax,2025-06,-19.5636187222551,alerta,132,
133,Tarifa Media,Financiero,Tren Araucanía,500.73838569668,691.687779611254,CLP/pax,2025-07,-27.6062986137897,critico,133,
134,Tarifa Media,Financiero,Tren Araucanía,467.436677583768,541.588180483559,CLP/pax,2025-08,-13.6914920915713,alerta,134,
135,Tarifa Media,Financiero,Tren Araucanía,477.19394373127,595.44199992399,CLP/pax,2025-09,-19.8588705882043,alerta,135,
136,Tarifa Media,Financiero,Tren Araucanía,469.934809719965,543.782126550294,CLP/pax,2025-10,-13.5803133690344,alerta,136,
137,Tarifa Media,Financiero,Tren Araucanía,458.287166555026,543.463449195884,CLP/pax,2025-11,-15.6728631459736,alerta,137,
138,Tarifa Media,Financiero,Tren Araucanía,629.227804510935,595.520317911716,CLP/pax,2025-12,5.66017406717876,ok,138,
139,Tarifa Media,Financiero,Laja Talcahuano,1381.63026418083,1298.09688226506,CLP/pax,2025-01,6.43506529112184,ok,139,
140,Tarifa Media,Financiero,Laja Talcahuano,1413.32929012881,1362.23236107711,CLP/pax,2025-02,3.75097013634986,ok,140,
141,Tarifa Media,Financiero,Laja Talcahuano,1254.61435859035,1158.44811301792,CLP/pax,2025-03,8.30129934105589,ok,141,
142,Tarifa Media,Financiero,Laja Talcahuano,1224.68920986438,1146.17916628674,CLP/pax,2025-04,6.84971825408278,ok,142,
143,Tarifa Media,Financiero,Laja Talcahuano,1223.82783117426,1125.57272369152,CLP/pax,2025-05,8.72934333025552,ok,143,
144,Tarifa Media,Financiero,Laja Talcahuano,1249.14872425814,1168.77202728801,CLP/pax,2025-06,6.87702093252744,ok,144,
145,Tarifa Media,Financiero,Laja Talcahuano,1223.66098412605,1215.38463562075,CLP/pax,2025-07,0.680965372009471,ok,145,
146,Tarifa Media,Financiero,Laja Talcahuano,1208.98482075573,1158.63324700917,CLP/pax,2025-08,4.34577325279879,ok,146,
147,Tarifa Media,Financiero,Laja Talcahuano,1221.80710107468,1197.32670815249,CLP/pax,2025-09,2.04458755956121,ok,147,
148,Tarifa Media,Financiero,Laja Talcahuano,1211.01983273596,1184.78229548213,CLP/pax,2025-10,2.21454501420888,ok,148,
149,Tarifa Media,Financiero,Laja Talcahuano,1148.43997451534,1171.86620232217,CLP/pax,2025-11,-1.99905311377789,alerta,149,
150,Tarifa Media,Financiero,Laja Talcahuano,1134.28343519684,1202.23046592615,CLP/pax,2025-12,-5.65174753552548,alerta,150,
151,Tarifa Media,Financiero,Llanquihue Puerto Montt,870.863095238095,1123.90123865747,CLP/pax,2025-04,-22.5142685776942,critico,151,
152,Tarifa Media,Financiero,Llanquihue Puerto Montt,859.345558546433,1123.90123865747,CLP/pax,2025-05,-23.539050497627,critico,152,
153,Tarifa Media,Financiero,Llanquihue Puerto Montt,835.563226276746,1123.90123865747,CLP/pax,2025-06,-25.6551022868479,critico,153,
154,Tarifa Media,Financiero,Llanquihue Puerto Montt,867.524379811805,1123.90123865747,CLP/pax,2025-07,-22.8113334185764,critico,154,
155,Tarifa Media,Financiero,Llanquihue Puerto Montt,892.830451202544,1123.90123865747,CLP/pax,2025-08,-20.5597057381079,critico,155,
156,Tarifa Media,Financiero,Llanquihue Puerto Montt,889.322938208289,1123.90123865747,CLP/pax,2025-09,-20.8717894758611,critico,156,
157,Tarifa Media,Financiero,Llanquihue Puerto Montt,831.813817771084,1123.90123865747,CLP/pax,2025-10,-25.9887088686985,critico,157,
158,Tarifa Media,Financiero,Llanquihue Puerto Montt,846.032681832746,1123.90123865747,CLP/pax,2025-11,-24.7235742133931,critico,158,
159,Tarifa Media,Financiero,Llanquihue Puerto Montt,902.856572113464,1123.90123865747,CLP/pax,2025-12,-19.6676237147003,alerta,159,
160,Tarifa Media,Financiero,Biotren,536.017878589366,553.928291616479,CLP/pax,2026-01,-3.23334505534053,alerta,160,
161,Tarifa Media,Financiero,Biotren,542.353955041048,556.037809989231,CLP/pax,2026-02,-2.46095763675648,alerta,161,
162,Tarifa Media,Financiero,Tren Araucanía,885.394683441558,894.484611410907,CLP/pax,2026-01,-1.01621960326523,alerta,162,
163,Tarifa Media,Financiero,Tren Araucanía,875.547302406262,817.017980274709,CLP/pax,2026-02,7.16377405940003,ok,163,
164,Tarifa Media,Financiero,Laja Talcahuano,1340.04599527503,1640.73825156926,CLP/pax,2026-01,-18.3266438755017,alerta,164,
165,Tarifa Media,Financiero,Laja Talcahuano,1385.01707594731,1718.8837323621,CLP/pax,2026-02,-19.4234578016505,alerta,165,
166,Tarifa Media,Financiero,Llanquihue Puerto Montt,977.889947501458,908.274816239316,CLP/pax,2026-01,7.66454491718499,ok,166,
167,Tarifa Media,Financiero,Llanquihue Puerto Montt,977.230525184195,908.274816239316,CLP/pax,2026-02,7.59194328764802,ok,167,
168,Tarifa Media,Financiero,Biotren,511.14,527.094297992961,CLP/pax,2026-03,-3.02683942013992,alerta,168,
169,Tarifa Media,Financiero,Tren Araucanía,541.467083603102,707.179479238361,CLP/pax,2026-03,-23.4328625900928,critico,169,
170,Tarifa Media,Financiero,Laja Talcahuano,1276.17325353421,1471.31234905226,CLP/pax,2026-03,-13.2629278646205,alerta,170,
171,Tarifa Media,Financiero,Llanquihue Puerto Montt,916.546999248841,392.745381017292,CLP/pax,2026-03,133.369262516798,ok,171,
