id_servicio_pdf,pagina_pdf,sector,tipo_dia,sentido,servicio,estacion_origen,hora_salida_origen,hora_llegada_orig,estacion_terminal,hora_llegada_term,hora_salida_term,n_estaciones_hora
P05|Concepción a Coronel|20097,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20097,CONCEPCIÓN,19:10,19:16:30,CORONEL,19:55,19:52:20,14
P05|Concepción a Coronel|20099,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20099,CONCEPCIÓN,19:17,19:23:30,CORONEL,20:02,19:59:20,14
P05|Concepción a Coronel|20101,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20101,CONCEPCIÓN,19:30,19:36:30,CORONEL,20:15,20:12:20,14
P05|Concepción a Coronel|20105,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20105,CONCEPCIÓN,19:45,19:50:40,CORONEL,20:27,20:24:30,14
P05|Concepción a Coronel|20107,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20107,CONCEPCIÓN,20:00,20:05:40,CORONEL,20:42,20:39:30,14
P05|Concepción a Coronel|20109,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20109,CONCEPCIÓN,20:15,20:20:40,CORONEL,20:57,20:54:30,14
P05|Concepción a Coronel|20111,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20111,CONCEPCIÓN,20:30,20:35:40,CORONEL,21:12,21:09:30,14
P05|Concepción a Coronel|20113,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20113,CONCEPCIÓN,20:45,20:50:40,CORONEL,21:27,21:24:30,14
P05|Concepción a Coronel|20115,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20115,CONCEPCIÓN,21:00,21:05:40,CORONEL,21:42,21:39:30,14
P05|Coronel a Concepción|20094,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20094,CORONEL,18:14,18:16:25,CONCEPCIÓN,18:56,18:50:15,14
P05|Coronel a Concepción|20098,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20098,CORONEL,18:26,18:28:25,CONCEPCIÓN,19:08,19:02:15,14
P05|Coronel a Concepción|20100,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20100,CORONEL,18:43,18:45:25,CONCEPCIÓN,19:25,19:19:15,14
P05|Coronel a Concepción|20104,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20104,CORONEL,18:58,19:00:25,CONCEPCIÓN,19:40,19:34:15,14
